all_rounder,match_id,home_team,opposition_team,venue,bat_inning,batsman_runs,balls,strike_rate,total_batting_points,bat_fp,total_points,batting_avg_inning_points,batting_avg_venue_points,batting_avg_oppo_points,avg_strike_rate,avg_batsman_runs,bowl_inning,total_bowler_runs,maiden,economy,overs,wickets,bowling_fp,bowl_fp_avg,bowl_opp_avg,bowl_ven_avg,bowl_inn_avg,bowl_run_avg,eco_avg,maiden_avg,wicket_avg,bowl_over_avg,rating
Mandeep Singh,357,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,1,25,20,125,10,0,10,14.2941176470588,20,18.25,107.764408133972,22.6451612903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Mandeep Singh,362,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,2,9,9,100,3,0,3,15.8,9,8.75,107.521770379785,22.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Mandeep Singh,367,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,15,15,100,9,0,9,15.375,27.5,17.5,107.293837944034,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Mandeep Singh,373,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",2,16,12,133.333333333333,9,0,9,15,14,19.6666666666667,108.059705455484,21.8235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Mandeep Singh,377,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",1,0,3,0,-2,0,-2,13.3888888888889,12.8571428571429,7.25,104.972285299613,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Mandeep Singh,381,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",2,0,2,0,-2,0,-2,14.0555555555556,11.8666666666667,2.5,102.056388485735,20.6111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Mandeep Singh,392,Kings XI Punjab,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,1,1,5,20,1,0,1,12.7368421052632,3.4,7.2,99.8386482563907,20.0810810810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Mandeep Singh,427,Kings XI Punjab,Chennai Super Kings,Barabati Stadium,1,3,8,37.5,3,0,3,12.25,3,14.6,98.1981575128015,19.6315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Mandeep Singh,429,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,21,17,123.529411764706,15,0,15,12.3809523809524,21.5,18.5,98.8476768525939,19.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Mandeep Singh,433,Kings XI Punjab,Kolkata Knight Riders,Barabati Stadium,1,0,3,0,-2,0,-2,11.7272727272727,0.5,14.2,96.3764849312791,19.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Mandeep Singh,471,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,2,6,3,200,3,0,3,13.4736842105263,14.3333333333333,12.3333333333333,98.9038877378333,18.8536585365854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
Mandeep Singh,475,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,1,0,1,0,-2,0,-2,11.1304347826087,13.6666666666667,1,96.5490332678848,18.4047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Mandeep Singh,487,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,1,27,21,128.571428571429,15,0,15,11.2916666666667,14,8.8,97.2937401354091,18.6046511627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Mandeep Singh,490,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2,45,18,250,34,0,34,14.5,18,15.4285714285714,100.764336950513,19.2045454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
