,Players,Rating,Fantasy points,Roles
0,AR Patel,8.5,89.066,All Rounder
1,A Nortje,9.0,36.75,Bowler
2,JC Archer,10.0,49.856,Bowler
3,JC Buttler,9.5,9.008,Wicketkeeper batsman
4,K Rabada,9.5,67.806,Bowler
5,MP Stoinis,8.5,40.826,Batsman
6,PP Shaw,8.0,21.268,Batsman
7,R Ashwin,9.0,39.764,All Rounder
8,R Parag,8.0,26.244,Batsman
9,SS Iyer,10.0,33.44,Batsman
10,S Gopal,8.5,25.581999999999997,All Rounder
