wicket_keeper_batsman,match_id,role,home_team,opposition_team,venue,inning,batsman_runs,sixes,fours,half_century,century,zeros,balls,strike_rate,rating,catch,Direct_runout,Indirect_runout,Stumping,thirty_run_bonus,half_cen_points,cent_points,zero_points,batting_run_points,batting_strike_points,total_batting_points,fp_points,total_points,avg_oppo_points,avg_venue_points,avg_inning_points,avg_batsman_runs,avg_strike_rate,avg_home_team_points,bound_runs,avg_bound_runs,avg_total_points,avg_balls
KK Nair,564,Batsman,Delhi Daredevils,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,8,0,1,0,0,0,8,100,8.5,0,0,0,0,0,0,0,0,5,0,5,0,5,13.8333333333333,3,14.5,21.8235294117647,110.348366932382,17.6666666666667,4,12.5882352941176,15.7352941176471,17.2352941176471
KK Nair,566,Batsman,Delhi Daredevils,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,41,0,5,0,0,0,43,95.3488372093023,8.5,0,0,0,0,4,0,0,0,30,0,30,0,30,26.5,12,17.8823529411765,22.3714285714286,109.919808940294,18.9,20,12.8,16.1428571428571,17.9714285714286
KK Nair,569,Batsman,Delhi Daredevils,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,2,83,3,8,1,0,0,61,136.065573770492,10,0,0,0,0,0,8,0,0,58,2,60,0,60,13.6666666666667,60,16.8947368421053,24.0555555555556,110.646080185577,22.6363636363636,50,13.8333333333333,17.3611111111111,19.1666666666667
KK Nair,573,Batsman,Delhi Daredevils,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,1,11,1,0,0,0,0,10,110,8.5,0,0,0,0,0,0,0,0,8,0,8,0,8,19.3333333333333,34,17.3333333333333,23.7027027027027,110.62861855894,21.4166666666667,6,13.6216216216216,17.1081081081081,18.9189189189189
KK Nair,581,Batsman,Delhi Daredevils,Royal Challengers Bangalore,M.Chinnaswamy Stadium,2,4,0,1,0,0,0,3,133.333333333333,9,0,0,0,0,0,0,0,0,1,0,1,0,1,16.7142857142857,1,16.1,23.1842105263158,111.226111053003,19.8461538461538,4,13.3684210526316,16.6842105263158,18.5
KK Nair,592,Batsman,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,1,0,0,0,0,0,1,3,0,8,0,0,0,0,0,0,0,-2,-2,0,-2,0,-2,10,20.7142857142857,16.3157894736842,22.5897435897436,108.374159487541,18.2857142857143,0,13.025641025641,16.2051282051282,18.1025641025641
KK Nair,595,Batsman,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,1,21,0,1,0,0,0,27,77.7777777777778,8.5,0,0,0,0,0,0,0,0,18,0,18,0,18,19,20.375,16.4,22.55,107.609249944797,18.2666666666667,4,12.8,16.25,18.325
KK Nair,598,Batsman,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2,33,1,5,0,0,0,24,137.5,9,0,0,0,0,4,0,0,0,19,2,21,0,21,14.7142857142857,13.6666666666667,16.3333333333333,22.8048780487805,108.33829262907,18.4375,26,13.1219512195122,16.3658536585366,18.4634146341463
KK Nair,601,Batsman,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,2,5,0,0,0,0,0,15,33.3333333333333,8,0,0,0,0,0,0,0,0,5,-6,-1,0,-1,11.7142857142857,13.3333333333333,15.5454545454545,22.3809523809524,106.552460264886,17.2941176470588,0,12.8095238095238,15.952380952381,18.3809523809524
KK Nair,608,Batsman,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,1,15,0,3,0,0,0,18,83.3333333333333,8.5,0,0,0,0,0,0,0,0,6,0,6,0,6,17.1428571428571,4.5,15.9047619047619,22.2093023255814,106.012480568804,16.6666666666667,12,12.7906976744186,15.7209302325581,18.3720930232558
