wicket_keeper_batsman,match_id,role,home_team,opposition_team,venue,inning,batsman_runs,sixes,fours,half_century,century,zeros,balls,strike_rate,rating,catch,Direct_runout,Indirect_runout,Stumping,thirty_run_bonus,half_cen_points,cent_points,zero_points,batting_run_points,batting_strike_points,total_batting_points,fp_points,total_points,avg_oppo_points,avg_venue_points,avg_inning_points,avg_batsman_runs,avg_strike_rate,avg_home_team_points,bound_runs,avg_bound_runs,avg_total_points,avg_balls
A Chopra,29,Batsman,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,1,2,0,0,0,0,0,5,40,8,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,40,2,0,0,2,5
A Chopra,32,Batsman,Kolkata Knight Riders,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",1,24,0,3,0,0,0,25,96,8.5,0,0,0,0,0,0,0,0,15,0,15,0,15,15,15,8.5,13,68,8.5,12,6,8.5,15
A Chopra,35,Batsman,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,1,13,0,2,0,0,0,18,72.2222222222222,8.5,0,0,0,0,0,0,0,0,7,0,7,0,7,7,4.5,8,13,69.4074074074074,8,8,6.66666666666667,8,16
A Chopra,38,Batsman,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,1,1,0,0,0,0,0,4,25,8,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,6.25,10,58.3055555555556,6.25,0,5,6.25,13
A Chopra,51,Batsman,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,2,2,0,0,0,0,0,3,66.6666666666667,8.5,0,0,0,0,0,0,0,0,2,0,2,0,2,2,3.66666666666667,2,8.4,59.9777777777778,5.4,0,4,5.4,11
A Chopra,62,Batsman,Kolkata Knight Riders,Deccan Chargers,Newlands,1,11,0,2,0,0,0,20,55,8.5,0,0,0,0,0,0,0,0,5,-4,1,0,1,8,1,5.2,8.83333333333333,59.1481481481482,4.66666666666667,8,4.66666666666667,4.66666666666667,12.5
A Mukund,49,Batsman,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",2,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,-2,-2,0,-2,0,-2,-2,-2,-2,0,0,-2,0,0,-2,1
A Mukund,363,Batsman,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,1,19,0,1,0,0,0,22,86.3636363636364,8.5,0,0,0,0,0,0,0,0,16,0,16,0,16,7,16,16,9.5,43.1818181818182,16,4,2,7,11.5
AA Chavan,235,Batsman,Rajasthan Royals,Kochi Tuskers Kerala,Holkar Cricket Stadium,1,1,0,0,0,0,0,3,33.3333333333333,8,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,33.3333333333333,1,0,0,1,3
AA Chavan,260,Batsman,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,2,4,0,1,0,0,0,2,200,9.5,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,2.5,116.666666666667,1,4,2,1,2.5
AA Chavan,288,Batsman,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,1,7,0,1,0,0,0,6,116.666666666667,9,0,0,0,0,0,0,0,0,4,0,4,0,4,4,4,2.5,4,116.666666666667,2,4,2.66666666666667,2,3.66666666666667
AA Jhunjhunwala,118,Batsman,Rajasthan Royals,Mumbai Indians,Brabourne Stadium,2,14,1,1,0,0,0,11,127.272727272727,9,0,0,0,0,0,0,0,0,8,0,8,0,8,8,8,8,14,127.272727272727,8,10,10,8,11
AA Jhunjhunwala,121,Batsman,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",1,53,1,5,1,0,0,48,110.416666666667,10,0,0,0,0,0,8,0,0,43,0,43,0,43,43,43,43,33.5,118.844696969697,25.5,26,18,25.5,29.5
AA Jhunjhunwala,125,Batsman,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,5,0,1,0,0,0,7,71.4285714285714,8.5,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,22.5,24,103.039321789322,17.6666666666667,4,13.3333333333333,17.6666666666667,22
AA Jhunjhunwala,128,Batsman,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",1,45,0,5,0,0,0,37,121.621621621622,10,0,0,0,0,4,0,0,0,34,0,34,0,34,34,38.5,26.3333333333333,29.25,107.684896747397,21.75,20,15,21.75,25.75
AA Jhunjhunwala,139,Batsman,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",1,11,0,2,0,0,0,6,183.333333333333,9.5,0,0,0,0,0,0,0,0,5,0,5,0,5,5,27.3333333333333,21,25.6,122.814584064584,18.4,8,13.6,18.4,21.8
AA Jhunjhunwala,144,Batsman,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2,2,0,0,0,0,0,6,33.3333333333333,8,0,0,0,0,0,0,0,0,2,0,2,0,2,22.5,2,5,21.6666666666667,107.901042276042,15.6666666666667,0,11.3333333333333,15.6666666666667,19.1666666666667
AA Jhunjhunwala,148,Batsman,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,7,1,0,0,0,0,4,175,9,0,0,0,0,0,0,0,0,4,0,4,0,4,4.5,4,4.66666666666667,19.5714285714286,117.486607665179,14,6,10.5714285714286,14,17
AA Jhunjhunwala,151,Batsman,Rajasthan Royals,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",1,11,0,1,0,0,0,8,137.5,9,0,0,0,0,0,0,0,0,8,0,8,0,8,8,8,18.4,18.5,119.988281707032,13.25,4,9.75,13.25,15.875
AA Jhunjhunwala,159,Batsman,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,2,22,1,0,0,0,0,23,95.6521739130435,8.5,0,0,0,0,0,0,0,0,19,0,19,0,19,13.5,19,8.25,18.8888888888889,117.284269729922,13.8888888888889,6,9.33333333333333,13.8888888888889,16.6666666666667
AA Jhunjhunwala,164,Batsman,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,1,13,0,1,0,0,0,22,59.0909090909091,8.5,0,0,0,0,0,0,0,0,10,-4,6,0,6,4,12.5,16.3333333333333,18.3,111.464933666021,13.1,4,8.8,13.1,17.2
AA Jhunjhunwala,218,Batsman,Pune Warriors,Mumbai Indians,Dr DY Patil Sports Academy,2,10,0,2,0,0,0,16,62.5,8.5,0,0,0,0,0,0,0,0,4,-2,2,0,2,9.66666666666667,2,7,17.5454545454545,107.013576060019,2,8,8.72727272727273,12.0909090909091,17.0909090909091
AA Jhunjhunwala,224,Batsman,Pune Warriors,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2,0,0,0,0,0,1,3,0,8,0,0,0,0,0,0,0,-2,-2,0,-2,0,-2,-2,-2,5.5,16.0833333333333,98.0957780550172,0,0,8,10.9166666666667,15.9166666666667
AA Jhunjhunwala,272,Batsman,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,1,4,0,1,0,0,0,6,66.6666666666667,8.5,0,0,0,0,0,0,0,0,1,0,1,0,1,15.3333333333333,1.5,14.1428571428571,15.1538461538462,95.6781541020672,1,4,7.69230769230769,10.1538461538462,15.1538461538462
AA Jhunjhunwala,292,Batsman,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,1,0,0,0,0,0,1,100,8.5,0,0,0,0,0,0,0,0,1,0,1,0,1,3.33333333333333,2.5,4.85714285714286,14.1428571428571,95.9868573804909,1,0,7.14285714285714,9.5,14.1428571428571
AA Jhunjhunwala,298,Batsman,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2,19,1,0,0,0,0,20,95,8.5,0,0,0,0,0,0,0,0,16,0,16,0,16,7,16,6.25,14.4666666666667,95.9210668884582,6,6,7.06666666666667,9.93333333333333,14.5333333333333
AB Barath,127,Batsman,Kings XI Punjab,Deccan Chargers,Barabati Stadium,2,7,0,1,0,0,0,10,70,8.5,0,0,0,0,0,0,0,0,4,-2,2,0,2,2,2,2,7,70,2,4,4,2,10
AB Barath,156,Batsman,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",2,33,1,4,0,0,0,28,117.857142857143,9,0,0,0,0,4,0,0,0,22,0,22,0,22,22,22,12,20,93.9285714285715,12,22,13,12,19
AB Barath,160,Batsman,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,2,2,0,0,0,0,0,5,40,8,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,8.66666666666667,14,75.952380952381,8.66666666666667,0,8.66666666666667,8.66666666666667,14.3333333333333
AB de Villiers,20,Wicketkeeper batsman,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,26,0,2,0,0,0,22,118.181818181818,9,0,0,0,0,0,0,0,0,20,0,20,0,20,20,20,20,26,118.181818181818,20,8,8,20,22
AB de Villiers,24,Wicketkeeper batsman,Delhi Daredevils,Mumbai Indians,Dr DY Patil Sports Academy,2,21,1,2,0,0,0,17,123.529411764706,9,1,0,0,0,0,0,0,0,12,0,12,0,12,12,12,16,23.5,120.855614973262,16,14,11,16,19.5
AB de Villiers,28,Wicketkeeper batsman,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,1,0,0,0,0,0,1,1,0,8,2,0,0,0,0,0,0,-2,-2,0,-2,0,-2,9,-2,-2,15.6666666666667,80.5704099821747,10,0,7.33333333333333,10,13.3333333333333
AB de Villiers,33,Wicketkeeper batsman,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,1,20,0,0,0,0,0,23,86.9565217391304,8.5,0,0,0,0,0,0,0,0,20,0,20,0,20,20,20,9,16.75,82.1669379214136,12.5,0,5.5,12.5,15.75
AB de Villiers,35,Wicketkeeper batsman,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,2,7,0,0,0,0,0,12,58.3333333333333,8.5,0,0,0,0,0,0,0,0,7,-4,3,0,3,3,3,11.6666666666667,14.8,77.4002170037975,10.6,0,4.4,10.6,15
AB de Villiers,43,Wicketkeeper batsman,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,2,21,0,1,0,0,0,25,84,8.5,0,0,0,0,0,0,0,0,18,0,18,0,18,18,18,13.25,15.8333333333333,78.500180836498,11.8333333333333,4,4.33333333333333,11.8333333333333,16.6666666666667
AB de Villiers,66,Wicketkeeper batsman,Delhi Daredevils,Chennai Super Kings,Kingsmead,1,105,6,5,0,1,0,54,194.444444444444,9.5,2,0,0,0,0,0,16,0,16,6,22,0,22,13.3333333333333,22,13.3333333333333,28.5714285714286,95.0636470662045,13.2857142857143,56,11.7142857142857,13.2857142857143,22
AB de Villiers,70,Wicketkeeper batsman,Delhi Daredevils,Royal Challengers Bangalore,St George's Park,2,21,0,0,0,0,0,23,91.304347826087,8.5,0,0,0,0,0,0,0,0,21,0,21,0,21,19.5,21,14.8,27.625,94.5937346611898,14.25,0,10.25,14.25,22.125
AB de Villiers,74,Wicketkeeper batsman,Delhi Daredevils,Rajasthan Royals,SuperSport Park,1,50,1,5,1,0,0,41,121.951219512195,9,0,0,0,0,0,8,0,0,40,0,40,0,40,30,40,20,30.1111111111111,97.6334552001904,17.1111111111111,26,12,17.1111111111111,24.2222222222222
AB de Villiers,78,Wicketkeeper batsman,Delhi Daredevils,Deccan Chargers,SuperSport Park,2,5,0,1,0,0,0,9,55.5555555555556,8,2,0,0,0,0,0,0,0,2,0,2,0,2,2,21,12.6666666666667,27.6,93.4256652357269,15.6,4,11.2,15.6,22.7
AB de Villiers,81,Wicketkeeper batsman,Delhi Daredevils,Chennai Super Kings,New Wanderers Stadium,2,0,0,0,0,0,1,1,0,8,3,0,1,0,0,0,0,-2,-2,0,-2,0,-2,9.5,-2,10.5714285714286,25.0909090909091,84.9324229415699,14,0,10.1818181818182,14,20.7272727272727
AB de Villiers,91,Wicketkeeper batsman,Delhi Daredevils,Mumbai Indians,Buffalo Park,2,50,1,6,1,0,0,38,131.578947368421,9,1,0,0,0,0,8,0,0,37,2,39,0,39,25.5,39,14.125,27.1666666666667,88.8196333104742,16.0833333333333,30,11.8333333333333,16.0833333333333,22.1666666666667
AB de Villiers,94,Wicketkeeper batsman,Delhi Daredevils,Kolkata Knight Riders,New Wanderers Stadium,2,40,0,5,0,0,0,33,121.212121212121,9,1,0,0,0,4,0,0,0,29,0,29,0,29,16,13.5,15.7777777777778,28.1538461538461,91.3113631490624,17.0769230769231,20,12.4615384615385,17.0769230769231,23
AB de Villiers,99,Wicketkeeper batsman,Delhi Daredevils,Deccan Chargers,Kingsmead,1,44,1,4,0,0,0,36,122.222222222222,9,1,0,0,0,4,0,0,0,33,0,33,0,33,17.5,27.5,22.6,29.2857142857143,93.5192816542881,18.2142857142857,22,13.1428571428571,18.2142857142857,23.9285714285714
AB de Villiers,102,Wicketkeeper batsman,Delhi Daredevils,Kings XI Punjab,OUTsurance Oval,1,11,0,1,0,0,0,12,91.6666666666667,8.5,1,0,0,0,0,0,0,0,8,0,8,0,8,8,8,20.1666666666667,28.0666666666667,93.3957739884467,17.5333333333333,4,12.5333333333333,17.5333333333333,23.1333333333333
AB de Villiers,105,Wicketkeeper batsman,Delhi Daredevils,Rajasthan Royals,OUTsurance Oval,1,79,1,8,1,0,0,55,143.636363636364,9,0,0,0,0,0,8,0,0,60,2,62,0,62,40.6666666666667,35,26.1428571428571,31.25,96.5358108414415,20.3125,38,14.125,20.3125,25.125
AB de Villiers,108,Wicketkeeper batsman,Delhi Daredevils,Royal Challengers Bangalore,New Wanderers Stadium,1,28,0,3,0,0,0,29,96.551724137931,8.5,0,0,0,0,0,0,0,0,19,0,19,0,19,19.3333333333333,15.3333333333333,25.25,31.0588235294118,96.5367469177056,20.2352941176471,12,14,20.2352941176471,25.3529411764706
AB de Villiers,112,Wicketkeeper batsman,Delhi Daredevils,Mumbai Indians,SuperSport Park,2,6,0,1,0,0,0,7,85.7142857142857,8.5,1,0,0,0,0,0,0,0,3,0,3,0,3,18,15,14.5,29.6666666666667,95.9354990730712,19.2777777777778,4,13.4444444444444,19.2777777777778,24.3333333333333
AB de Villiers,113,Wicketkeeper batsman,Delhi Daredevils,Deccan Chargers,SuperSport Park,1,26,2,0,0,0,0,21,123.809523809524,9,0,0,0,0,0,0,0,0,20,0,20,0,20,18.3333333333333,16.25,24.6666666666667,29.4736842105263,97.4025530065687,19.3157894736842,12,13.3684210526316,19.3157894736842,24.1578947368421
AB de Villiers,117,Wicketkeeper batsman,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2,7,0,0,0,0,0,15,46.6666666666667,8,0,0,0,0,0,0,0,0,7,-6,1,0,1,4.5,1,13.2727272727273,28.35,94.8657586895736,18.4,0,12.7,18.4,23.7
AB de Villiers,121,Wicketkeeper batsman,Delhi Daredevils,Rajasthan Royals,"Sardar Patel Stadium, Motera",2,15,0,0,0,0,0,26,57.6923076923077,8.5,1,0,0,0,0,0,0,0,15,-4,11,0,11,33.25,11,13.0833333333333,27.7142857142857,93.0955943563705,18.047619047619,0,12.0952380952381,18.047619047619,23.8095238095238
AB de Villiers,124,Wicketkeeper batsman,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2,11,0,2,0,0,0,11,100,8.5,0,0,0,0,0,0,0,0,5,0,5,0,5,14.75,1.5,12.4615384615385,26.9545454545455,93.4094309765354,17.4545454545455,8,11.9090909090909,17.4545454545455,23.2272727272727
AB de Villiers,126,Wicketkeeper batsman,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,1,2,0,0,0,0,0,3,66.6666666666667,8.5,0,0,0,0,0,0,0,0,2,0,2,0,2,8,1.66666666666667,22.4,25.8695652173913,92.2467020934976,16.7826086956522,0,11.3913043478261,16.7826086956522,22.3478260869565
AB de Villiers,130,Wicketkeeper batsman,Delhi Daredevils,Deccan Chargers,Barabati Stadium,2,27,0,2,0,0,0,26,103.846153846154,8.5,2,0,1,0,0,0,0,0,21,0,21,0,21,19,21,13.0714285714286,25.9166666666667,92.7300125831916,16.9583333333333,8,11.25,16.9583333333333,22.5
AB de Villiers,136,Wicketkeeper batsman,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,45,0,3,0,0,0,35,128.571428571429,9,1,0,1,0,4,0,0,0,40,0,40,0,40,24.5,29,24,26.68,94.1636692227211,17.88,12,11.28,17.88,23
AB de Villiers,163,Wicketkeeper batsman,Delhi Daredevils,Mumbai Indians,Brabourne Stadium,2,4,0,0,0,0,0,7,57.1428571428571,8.5,2,0,0,0,0,0,0,0,4,0,4,0,4,12.6,4,12.4666666666667,25.8076923076923,92.739791835034,17.3461538461538,0,10.8461538461538,17.3461538461538,22.3846153846154
AB de Villiers,178,Wicketkeeper batsman,Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2,54,5,1,1,0,0,41,131.707317073171,9,0,0,0,0,0,8,0,0,44,2,46,0,46,46,46,14.5625,26.8518518518519,94.1830335105206,46,34,11.7037037037037,18.4074074074074,23.0740740740741
AB de Villiers,183,Wicketkeeper batsman,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,1,38,1,3,0,0,0,37,102.702702702703,8.5,0,0,0,0,4,0,0,0,30,0,30,0,30,15.5,29.3333333333333,24.5,27.25,94.4873074102414,38,18,11.9285714285714,18.8214285714286,23.5714285714286
AB de Villiers,186,Wicketkeeper batsman,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2,0,0,0,0,0,1,7,0,8,1,0,0,0,0,0,0,-2,-2,0,-2,0,-2,14.8,-2,13.5882352941176,26.3103448275862,91.2291243960951,24.6666666666667,0,11.5172413793103,18.1034482758621,23
AB de Villiers,189,Wicketkeeper batsman,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,65,2,5,1,0,0,45,144.444444444444,9,1,0,0,0,0,8,0,0,52,2,54,0,54,15.6666666666667,37,15.8333333333333,27.6,93.0029683977068,32,32,12.2,19.3,23.7333333333333
AB de Villiers,204,Wicketkeeper batsman,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,2,5,0,1,0,0,0,2,250,9.5,1,0,1,0,0,0,0,0,2,0,2,0,2,2,1.75,15.1052631578947,26.8709677419355,98.0673887719743,26,4,11.9354838709677,18.741935483871,23.0322580645161
AB de Villiers,208,Wicketkeeper batsman,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,1,26,1,1,0,0,0,20,130,9,0,0,0,0,0,0,0,0,20,2,22,0,22,22,27.5,24.3076923076923,26.84375,99.0652828728501,25.3333333333333,10,11.875,18.84375,22.9375
AB de Villiers,221,Wicketkeeper batsman,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,1,27,2,2,0,0,0,14,192.857142857143,9.5,0,0,0,0,0,0,0,0,15,6,21,0,21,10,26.2,24.0714285714286,26.8484848484848,101.907460448132,24.7142857142857,20,12.1212121212121,18.9090909090909,22.6666666666667
AB de Villiers,233,Wicketkeeper batsman,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2,13,0,2,0,0,0,14,92.8571428571429,8.5,1,0,0,0,0,0,0,0,7,0,7,0,7,13,23,14.7,26.4411764705882,101.641274636632,22.5,8,12,18.5588235294118,22.4117647058824
AB de Villiers,237,Wicketkeeper batsman,Royal Challengers Bangalore,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,2,34,1,3,0,0,0,27,125.925925925926,9,0,0,0,0,4,0,0,0,26,0,26,0,26,14,26,15.2380952380952,26.6571428571429,102.335121816326,22.8888888888889,18,12.1714285714286,18.7714285714286,22.5428571428571
AB de Villiers,243,Wicketkeeper batsman,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,2,0,0,0,0,0,1,3,0,8,1,0,0,0,0,0,0,-2,-2,0,-2,0,-2,13.1428571428571,19.4285714285714,14.4545454545455,25.9166666666667,99.4924795436504,20.4,0,11.8333333333333,18.1944444444444,22
AB de Villiers,245,Wicketkeeper batsman,Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,1,11,1,0,0,0,0,10,110,8.5,0,0,0,0,0,0,0,0,8,0,8,0,8,12.5,8,23,25.5135135135135,99.7764665830112,19.2727272727273,6,11.6756756756757,17.9189189189189,21.6756756756757
AB de Villiers,247,Wicketkeeper batsman,Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",1,21,1,0,0,0,0,16,131.25,9,0,0,0,0,0,0,0,0,18,2,20,0,20,16.1428571428571,31.3333333333333,22.8125,25.3947368421053,100.604717462406,19.3333333333333,6,11.5263157894737,17.9736842105263,21.5263157894737
AB de Villiers,248,Wicketkeeper batsman,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,18,0,3,0,0,0,12,150,9,0,0,0,0,0,0,0,0,9,2,11,0,11,12.3333333333333,26.25,14.304347826087,25.2051282051282,101.871263168498,18.6923076923077,12,11.5384615384615,17.7948717948718,21.2820512820513
AB de Villiers,254,Wicketkeeper batsman,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,1,64,2,6,1,0,0,42,152.380952380952,9,0,0,0,0,0,8,0,0,48,4,52,0,52,27,23.5,24.5294117647059,26.175,103.134005398809,21.0714285714286,36,12.15,18.65,21.8
AB de Villiers,258,Wicketkeeper batsman,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2,10,0,1,0,0,0,10,100,8.5,1,0,0,1,0,0,0,0,7,0,7,0,7,11.5,21.6666666666667,14,25.780487804878,103.057566242741,20.1333333333333,4,11.9512195121951,18.3658536585366,21.5121951219512
AB de Villiers,261,Wicketkeeper batsman,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",1,4,0,1,0,0,0,3,133.333333333333,9,0,0,0,0,0,0,0,0,1,0,1,0,1,11.2,21.2,23.2222222222222,25.2619047619048,103.778417840136,18.9375,4,11.7619047619048,17.952380952381,21.0714285714286
AB de Villiers,266,Wicketkeeper batsman,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,2,6,0,0,0,0,0,10,60,8.5,0,0,0,0,0,0,0,0,6,-2,4,0,4,27.4,19.9,13.6,24.8139534883721,102.760315099667,18.0588235294118,0,11.4883720930233,17.6279069767442,20.8139534883721
AB de Villiers,269,Wicketkeeper batsman,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,2,33,3,2,0,0,0,14,235.714285714286,9.5,0,0,0,0,4,0,0,0,22,6,28,0,28,25,20.6363636363636,14.1538461538462,25,105.78199625,18.6111111111111,26,11.8181818181818,17.8636363636364,20.6590909090909
AB de Villiers,273,Wicketkeeper batsman,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2,52,0,6,1,0,0,41,126.829268292683,9,1,0,0,0,0,8,0,0,42,0,42,0,42,19.6,21.5,15.1851851851852,25.6,106.249713406504,19.8421052631579,24,12.0888888888889,18.4,21.1111111111111
AB de Villiers,278,Wicketkeeper batsman,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,1,59,5,3,1,0,0,24,245.833333333333,9.5,0,0,0,0,0,8,0,0,43,6,49,0,49,31,34.5,24.5789473684211,26.3260869565217,109.284139926652,21.3,42,12.7391304347826,19.0652173913043,21.1739130434783
AB de Villiers,283,Wicketkeeper batsman,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,2,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,-2,-2,0,-2,0,-2,8.8,0.5,14.5714285714286,25.7659574468085,106.958945460128,20.1904761904762,0,12.468085106383,18.6170212765957,20.7446808510638
AB de Villiers,290,Wicketkeeper batsman,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,1,17,1,1,0,0,0,13,130.769230769231,9,0,0,0,0,0,0,0,0,11,2,13,0,13,18.5,20,24,25.5833333333333,107.454993070734,19.8636363636364,10,12.4166666666667,18.5,20.5833333333333
AB de Villiers,296,Wicketkeeper batsman,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,2,47,3,5,0,0,0,17,276.470588235294,10,0,0,0,0,4,0,0,0,27,6,33,0,33,17.8333333333333,21,15.2068965517241,26.0204081632653,110.904290931235,20.4347826086957,38,12.9387755102041,18.7959183673469,20.5102040816327
AB de Villiers,303,Wicketkeeper batsman,Royal Challengers Bangalore,Pune Warriors,Subrata Roy Sahara Stadium,1,9,1,0,0,0,0,4,225,9.5,0,0,0,0,0,0,0,0,6,0,6,0,6,18.6666666666667,6,23.1428571428571,25.68,113.186205112611,19.8333333333333,6,12.8,18.54,20.18
AB de Villiers,308,Wicketkeeper batsman,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,1,14,0,1,0,0,0,13,107.692307692308,8.5,0,0,0,0,0,0,0,0,11,0,11,0,11,15.5,20.2857142857143,22.5909090909091,25.4509803921569,113.078481633781,19.48,4,12.6274509803922,18.3921568627451,20.0392156862745
AB de Villiers,317,Wicketkeeper batsman,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2,4,0,0,0,0,0,11,36.3636363636364,8,1,0,0,0,0,0,0,0,4,-6,-2,0,-2,15,-2,14.6333333333333,25.0384615384615,111.603196147817,18.6538461538462,0,12.3846153846154,18,19.8653846153846
AB de Villiers,331,Wicketkeeper batsman,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,2,15,1,0,0,0,0,15,100,8.5,1,0,0,0,0,0,0,0,12,0,12,0,12,12,19.7333333333333,14.5483870967742,24.8490566037736,111.384267918613,18.4074074074074,6,12.2641509433962,17.8867924528302,19.7735849056604
AB de Villiers,334,Wicketkeeper batsman,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2,22,1,2,0,0,0,22,100,8.5,1,0,0,0,0,0,0,0,13,0,13,0,13,9.5,19.3125,14.5,24.7962962962963,111.173448142342,18.2142857142857,14,12.2962962962963,17.7962962962963,19.8148148148148
AB de Villiers,338,Wicketkeeper batsman,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",1,64,1,8,1,0,0,33,193.939393939394,9.5,0,0,0,0,0,8,0,0,45,6,51,0,51,14.8181818181818,26.1666666666667,23.8260869565217,25.5090909090909,112.67828352047,19.3448275862069,38,12.7636363636364,18.4,20.0545454545455
AB de Villiers,343,Wicketkeeper batsman,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,2,39,1,3,0,0,0,32,121.875,9,0,0,0,0,4,0,0,0,31,0,31,0,31,28.3333333333333,20,15,25.75,112.842510600462,19.7333333333333,18,12.8571428571429,18.625,20.2678571428571
AB de Villiers,348,Wicketkeeper batsman,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,2,7,0,1,0,0,0,8,87.5,8.5,0,0,0,0,0,0,0,0,4,0,4,0,4,27.1428571428571,19.1111111111111,14.6764705882353,25.4210526315789,112.397905151331,19.2258064516129,4,12.7017543859649,18.3684210526316,20.0526315789474
AB de Villiers,354,Wicketkeeper batsman,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,1,31,3,3,0,0,0,9,344.444444444444,10,1,0,0,0,4,0,0,0,17,0,17,0,17,18.25,19,23.5416666666667,25.5172413793103,116.398707552936,19.15625,30,13,18.3448275862069,19.8620689655172
